filename,relevance_score,coherence_score,accuracy_score,fluency_score
INQ000350691.txt,4.0,4.0,3.666666667,3.666666667
INQ000396686.txt,0.0,1.333333333,1.333333333,1.333333333
INQ000383998.txt,4.333333333,4.0,4.333333333,4.0
INQ000395589.txt,4.333333333,2.666666667,4.0,1.333333333
INQ000396684.txt,3.666666667,3.5,4.166666667,3.166666667
INQ000383581.txt,3.0,4.333333333,4.0,4.333333333
INQ000396685.txt,4.166666667,3.555555556,3.055555556,3.444444444
INQ000400585.txt,4.0,3.333333333,4.0,4.0
INQ000412042.txt,4.666666667,4.0,4.666666667,4.333333333
INQ000350094.txt,4.333333333,4.0,3.666666667,3.666666667
INQ000383585.txt,4.333333333,4.0,4.0,4.0
INQ000350057.txt,4.0,4.0,4.0,4.0
INQ000395913.txt,4.0,4.0,3.0,4.0
INQ000350513.txt,4.0,4.0,3.0,2.666666667
INQ000385719.txt,4.0,3.666666667,4.0,4.0
Average,3.7888888888666665,3.625925925933333,3.6592592593333335,3.462962962933333
