filename,relevance_score,coherence_score,accuracy_score,fluency_score
INQ000350513.txt,4.0,4.333333333,4.0,4.0
INQ000383585.txt,4.666666667,3.0,4.0,4.0
INQ000395589.txt,3.333333333,3.666666667,4.333333333,3.0
INQ000396684.txt,3.0,2.5,2.0,3.666666667
INQ000350094.txt,4.0,4.0,4.0,2.666666667
INQ000385719.txt,3.0,4.0,4.0,4.0
INQ000395913.txt,3.0,4.0,4.0,3.666666667
INQ000412042.txt,4.666666667,4.0,4.0,4.0
INQ000400585.txt,2.666666667,3.333333333,3.333333333,2.666666667
INQ000383581.txt,4.0,3.0,4.0,3.666666667
INQ000350691.txt,1.333333333,2.0,2.0,2.0
INQ000350057.txt,2.0,2.0,2.333333333,1.333333333
INQ000396686.txt,3.0,4.333333333,2.666666667,2.666666667
INQ000383998.txt,4.0,2.666666667,3.333333333,2.666666667
INQ000396685.txt,1.555555556,3.111111111,1.888888889,1.888888889
Average,3.2148148148666666,3.3296296296,3.3259259258666662,3.0592592594
