filename,relevance_score,coherence_score,accuracy_score,fluency_score
INQ000396686.txt,2.333333333,4.0,3.666666667,4.0
INQ000400585.txt,4.0,4.0,4.0,4.166666667
INQ000350691.txt,1.666666667,2.0,1.333333333,2.0
INQ000383581.txt,3.666666667,4.0,4.0,4.333333333
INQ000350094.txt,4.0,4.0,4.0,4.0
INQ000350513.txt,4.0,4.0,4.0,4.0
INQ000395913.txt,4.0,4.0,3.0,4.0
INQ000383585.txt,4.0,4.0,4.0,4.333333333
INQ000396684.txt,3.833333333,3.666666667,3.333333333,3.666666667
INQ000396685.txt,3.722222222,3.944444444,3.666666667,3.555555556
INQ000412042.txt,4.0,3.0,4.0,4.0
INQ000383998.txt,4.0,4.0,4.0,4.0
INQ000395589.txt,4.0,4.0,4.0,3.333333333
INQ000385719.txt,4.333333333,4.0,4.0,4.333333333
INQ000350057.txt,2.333333333,3.333333333,3.666666667,3.0
Average,3.5925925925333333,3.7296296295999998,3.6444444444666666,3.7814814814666664
