filename,relevance_score,coherence_score,accuracy_score,fluency_score
INQ000350513.txt,3.666666667,4.0,2.0,3.333333333
INQ000383585.txt,4.333333333,4.0,4.0,3.0
INQ000395589.txt,2.0,2.0,2.0,2.666666667
INQ000396684.txt,2.333333333,2.333333333,2.0,3.0
INQ000350094.txt,1.666666667,2.0,2.0,2.333333333
INQ000385719.txt,4.0,4.0,4.0,4.0
INQ000395913.txt,1.666666667,1.666666667,2.0,2.0
INQ000412042.txt,2.666666667,2.333333333,1.666666667,1.333333333
INQ000400585.txt,1.666666667,1.833333333,2.0,2.166666667
INQ000383581.txt,4.0,4.0,4.0,4.0
INQ000350691.txt,3.333333333,4.0,3.0,4.0
INQ000350057.txt,4.0,2.666666667,4.0,4.0
INQ000396686.txt,2.0,3.333333333,2.666666667,3.666666667
INQ000383998.txt,4.333333333,4.0,4.666666667,4.0
INQ000396685.txt,2.0,2.166666667,2.0,2.722222222
Average,2.911111111133333,2.955555555533333,2.800000000066667,3.0814814814666667
